dt,age_cd,sex_cd,home_sido_nm,h0d0h0_dur_r,h0d0h1_dur_r,h0d1h0_dur_r,h0d1h1_dur_r,h1d0h0_dur_r,h1d0h1_dur_r,h1d1h0_dur_r,h1d1h1_dur_r
20200921,\N,\N,서울특별시,0.136689807,0.863284079,0.424836175,0.575137712,0.140610098,0.859336956,0.278775192,0.721171622
20200921,\N,\N,부산광역시,0.149655572,0.850277023,0.421389967,0.578542628,0.152272843,0.847494447,0.303138779,0.696628511
20200921,\N,\N,대전광역시,0.142726601,0.857076824,0.423873534,0.575929891,0.157302312,0.84196242,0.317198447,0.682064395
20200921,\N,\N,대구광역시,0.139712332,0.860230651,0.435616188,0.564326795,0.14565137,0.854097754,0.324188514,0.67556061
20200921,\N,\N,광주광역시,0.154624878,0.845184498,0.444647135,0.55516224,0.177675713,0.821915805,0.348420732,0.651170786
20200921,\N,\N,경상북도,0.161894821,0.838027814,0.428711387,0.571211248,0.175399051,0.82437659,0.349030699,0.650744942
20200921,\N,\N,경상남도,0.159032503,0.840932153,0.440166584,0.559798808,0.166579561,0.833270227,0.337504212,0.662345576
20200921,\N,\N,경기도,0.154053201,0.845944947,0.45328723,0.546710918,0.157153732,0.842841081,0.313139155,0.686855658
20200921,\N,\N,강원도,0.149424684,0.85042435,0.398081616,0.601767418,0.164577346,0.835064109,0.323978308,0.675661574
20200921,\N,\N,\N,0.1512117,0.848698283,0.436511787,0.563398148,0.163164244,0.836628975,0.320672188,0.679120839
20200928,0,\N,\N,0.076373684,0.919784114,0.114349424,0.881803023,0.229877374,0.76498542,0.297695429,0.697164689
20200928,10,\N,\N,0.102501548,0.897397048,0.213230942,0.786667654,0.213768283,0.786181803,0.292855441,0.70709412
20200928,20,\N,\N,0.202396103,0.797532935,0.408221931,0.591706733,0.292101864,0.70788245,0.359108836,0.640875477
20200928,30,\N,\N,0.191850965,0.808110547,0.507174152,0.492787359,0.287270919,0.712719014,0.39418656,0.605803077
20200928,40,\N,\N,0.175209416,0.82477393,0.514077238,0.485906108,0.248469827,0.751523415,0.374030117,0.625963125
20200928,50,\N,\N,0.171750388,0.828228242,0.50460598,0.495372651,0.204455626,0.795535878,0.350629611,0.649361893
20200928,60,\N,\N,0.140378328,0.859588607,0.397365757,0.602601178,0.156904789,0.843081916,0.286827619,0.713159087
20200928,70,\N,\N,0.090350869,0.909519868,0.245756889,0.754114521,0.102532487,0.897400861,0.184007131,0.815926218
20200928,\N,1,\N,0.190191673,0.809677908,0.484690898,0.515178589,0.245255344,0.754631239,0.358286692,0.641599798
20200928,\N,2,\N,0.130705158,0.869196176,0.365987784,0.63391345,0.204095613,0.795797581,0.312950613,0.686942382
20200928,\N,\N,충청북도,0.165273556,0.834556438,0.419550916,0.580279078,0.238512598,0.76134573,0.353204627,0.646653701
20200928,\N,\N,충청남도,0.174235925,0.825644734,0.432254394,0.567626265,0.260514892,0.739356123,0.374596617,0.625274398
20200928,\N,\N,제주특별자치도,0.185889328,0.812479822,0.451467227,0.546901923,0.220776263,0.778567945,0.369039208,0.630305001
20200928,\N,\N,전라북도,0.200862899,0.798944493,0.427528169,0.572279223,0.235494921,0.764312471,0.357662945,0.642144448
20200928,\N,\N,전라남도,0.210143201,0.789689231,0.425535773,0.574295296,0.250246769,0.749629257,0.365380888,0.634493776
20200928,\N,\N,인천광역시,0.157251535,0.842641977,0.433091464,0.566802048,0.209283847,0.790612372,0.313018977,0.686877242
20200928,\N,\N,울산광역시,0.172326012,0.827234782,0.433526443,0.566034351,0.245776871,0.753908505,0.366216404,0.633468973
20200928,\N,\N,세종특별자치시,0.167852855,0.829990876,0.436204495,0.561639237,0.283893272,0.71410231,0.398080197,0.599915385
20200928,\N,\N,서울특별시,0.14648163,0.853488331,0.416393901,0.583576061,0.208522243,0.791448921,0.30592438,0.694046783
20200928,\N,\N,부산광역시,0.156122342,0.843783662,0.413515931,0.586390073,0.210890981,0.788955573,0.316896767,0.682948983
20200928,\N,\N,대전광역시,0.154329458,0.84534981,0.41600938,0.583669888,0.242732378,0.756888057,0.355504768,0.644115667
20200928,\N,\N,대구광역시,0.144387201,0.855512112,0.425076786,0.574822527,0.208095353,0.791736518,0.33846205,0.661369822
20200928,\N,\N,광주광역시,0.17061279,0.829177343,0.435986833,0.563803299,0.246659343,0.753087535,0.365220804,0.634526074
20200928,\N,\N,경상북도,0.16935807,0.830557205,0.422634459,0.577279843,0.242142964,0.757735306,0.366255593,0.633621702
20200928,\N,\N,경상남도,0.165650226,0.834286185,0.431195323,0.568741088,0.237605896,0.7623002,0.358692332,0.641213764
20200928,\N,\N,경기도,0.159510838,0.840486002,0.439509955,0.560486886,0.223204847,0.776792737,0.331942123,0.668055461
20200928,\N,\N,강원도,0.159414122,0.840408293,0.398258437,0.601563978,0.22477722,0.775081662,0.338117429,0.661741454
20200928,\N,\N,\N,0.161349664,0.838535311,0.42713775,0.572747129,0.225299069,0.77459072,0.336305516,0.663584128
